crime,date,hour,lat,long,h,hora
VIOLACION,30/09/2020,07:20,19.31871412,-99.25441841,7,7
VIOLACION,29/09/2020,22:30,19.37876233,-99.20548829,22,22
VIOLACION,29/09/2020,22:00,19.3479712,-99.0301617,22,22
VIOLACION,29/09/2020,23:30,19.55731088,-99.13416645,23,23
VIOLACION,27/09/2020,00:00,19.34212519,-99.12427974,0,0.1
VIOLACION,26/09/2020,23:00,19.33472166,-99.03031684,23,23
VIOLACION,26/09/2020,03:00,19.4473462,-99.1591203,3,3
VIOLACION,26/09/2020,06:23,19.40373446,-99.13849869,6,6
VIOLACION,25/09/2020,04:00,19.56340479,-99.13257004,4,4
VIOLACION,24/09/2020,02:45,19.39297696,-99.10110124,2,2
VIOLACION,23/09/2020,17:30,19.3335839,-99.1652134,17,17
VIOLACION,23/09/2020,00:00,19.32375056,-99.10529656,0,0.1
VIOLACION,22/09/2020,14:00,19.41086184,-99.06806615,14,14
VIOLACION,22/09/2020,10:30,19.3604001,-99.1465168,10,10
VIOLACION,20/09/2020,08:00,19.39621487,-99.19032741,8,8
VIOLACION,20/09/2020,06:00,19.34771317,-99.26916303,6,6
VIOLACION,20/09/2020,01:00,19.4906426,-99.1741282,1,1
VIOLACION,19/09/2020,05:00,19.32921274,-99.15460307,5,5
VIOLACION,18/09/2020,12:30,19.51481528,-99.13314474,12,12
VIOLACION,18/09/2020,12:00,19.287941,-99.0680133,12,12
VIOLACION,17/09/2020,09:00,19.44310411,-99.16417994,9,9
VIOLACION,17/09/2020,18:00,19.3586505,-99.1408242,18,18
VIOLACION,17/09/2020,15:00,19.4565703,-99.1158829,15,15
VIOLACION,17/09/2020,00:00,19.4344073,-99.2192733,0,0.1
VIOLACION,16/09/2020,04:51,19.4276057,-99.1571211,4,4
VIOLACION,16/09/2020,20:00,19.32685897,-99.05689451,20,20
VIOLACION,16/09/2020,06:30,19.38155075,-99.21333311,6,6
VIOLACION,16/09/2020,11:00,19.385855,-99.055651,11,11
VIOLACION,15/09/2020,16:00,19.3372048,-99.08252308,16,16
VIOLACION,15/09/2020,20:30,19.37359246,-99.23085996,20,20
VIOLACION,14/09/2020,18:00,19.54458361,-99.13760656,18,18
VIOLACION,13/09/2020,22:35,19.2896599,-99.227362,22,22
VIOLACION,13/09/2020,02:00,19.2742534,-99.18503966,2,2
VIOLACION,13/09/2020,18:00,19.28000198,-99.11417918,18,18
VIOLACION,13/09/2020,05:00,19.34018897,-98.97684345,5,5
VIOLACION,13/09/2020,04:00,19.39542052,-99.15100544,4,4
VIOLACION,13/09/2020,17:00,19.35224222,-99.24392887,17,17
VIOLACION,12/09/2020,00:30,19.4232843,-99.11468771,0,0.1
VIOLACION,12/09/2020,21:00,19.38540599,-99.05283045,21,21
VIOLACION,12/09/2020,00:30,19.4081022,-99.1268436,0,0.1
VIOLACION,11/09/2020,17:30,19.4135985,-99.1129122,17,17
VIOLACION,11/09/2020,22:25,19.45293759,-99.15949199,22,22
VIOLACION,10/09/2020,08:00,19.32279007,-99.26002286,8,8
VIOLACION,10/09/2020,21:09,19.38663837,-99.24305392,21,21
VIOLACION,10/09/2020,12:00,19.544985,-99.1269378,12,12
VIOLACION,10/09/2020,09:30,19.27274344,-99.1742567,9,9
VIOLACION,09/09/2020,16:00,19.3351853,-99.0524453,16,16
VIOLACION,09/09/2020,20:05,19.38447968,-99.14056059,20,20
VIOLACION,09/09/2020,05:00,19.35820323,-99.07372414,5,5
VIOLACION,06/09/2020,19:00,19.33856389,-98.99647351,19,19
VIOLACION,06/09/2020,11:15,19.36087439,-99.1968587,11,11
VIOLACION,06/09/2020,07:00,19.4838854,-99.1135903,7,7
VIOLACION,06/09/2020,21:00,19.43957911,-99.21823863,21,21
VIOLACION,06/09/2020,17:30,19.41949121,-99.17295815,17,17
VIOLACION,06/09/2020,17:00,19.49101156,-99.0821116,17,17
VIOLACION,06/09/2020,02:30,19.25438173,-99.16146411,2,2
VIOLACION,06/09/2020,07:00,19.43769044,-99.15493971,7,7
VIOLACION,05/09/2020,09:30,19.34357817,-99.1174163,9,9
VIOLACION,05/09/2020,23:00,19.32423864,-99.15650752,23,23
VIOLACION,04/09/2020,17:00,19.4186632,-99.17302944,17,17
VIOLACION,04/09/2020,10:30,19.30767449,-99.18045668,10,10
VIOLACION,04/09/2020,18:30,19.3039838,-99.1918402,18,18
VIOLACION,04/09/2020,21:40,19.3786585,-99.1888182,21,21
VIOLACION,04/09/2020,20:00,19.4558071,-99.185752,20,20
VIOLACION,03/09/2020,22:27,19.4279864,-99.1839073,22,22
VIOLACION,03/09/2020,02:30,19.43263361,-99.15618359,2,2
VIOLACION,02/09/2020,11:40,19.36853169,-99.24457298,11,11
VIOLACION,02/09/2020,19:30,19.41006647,-99.15048223,19,19
VIOLACION,02/09/2020,22:15,19.3558369,-98.99198627,22,22
VIOLACION,01/09/2020,19:00,19.3823272,-99.075932,19,19
VIOLACION,31/08/2020,02:00,19.44418871,-99.1667922,2,2
VIOLACION,30/08/2020,22:00,19.39446463,-99.20183722,22,22
VIOLACION,30/08/2020,04:30,19.33257677,-99.00430881,4,4
